"No.","Time","Source","Destination","Protocol","Length","Data","Value","Opcode","UUID"
"4150","190.722178","SamsungElect_dc:71:4a (Galaxy Tab A8)","ShenZhenShiX_a6:10:3a (SandTable)","ATT","16","â\234\223","","Read By Group Type Request","Primary Service"
"4162","190.840795","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","29","â\234\223","","Read By Group Type Response","GAP,GAP,GATT,GATT,0xffe0,0xffe0,Primary Service"
"4163","190.844551","SamsungElect_dc:71:4a (Galaxy Tab A8)","ShenZhenShiX_a6:10:3a (SandTable)","ATT","16","â\234\223","","Read By Group Type Request","Primary Service"
"4168","190.932240","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","14","â\234\223","","Error Response","Primary Service"
"4169","190.932986","SamsungElect_dc:71:4a (Galaxy Tab A8)","ShenZhenShiX_a6:10:3a (SandTable)","ATT","16","â\234\223","","Read By Type Request","Include"
"4173","191.021145","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","14","â\234\223","","Error Response","GAP,Include"
"4174","191.021838","SamsungElect_dc:71:4a (Galaxy Tab A8)","ShenZhenShiX_a6:10:3a (SandTable)","ATT","16","â\234\223","","Read By Type Request","Characteristic"
"4179","191.112863","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","32","â\234\223","","Read By Type Response","Characteristic,Device Name,Device Name,Characteristic,Appearance,Appearance,Characteristic,Peripheral Privacy Flag,Peripheral Privacy Flag,Characteristic"
"4180","191.113564","SamsungElect_dc:71:4a (Galaxy Tab A8)","ShenZhenShiX_a6:10:3a (SandTable)","ATT","16","â\234\223","","Read By Type Request","Characteristic"
"4182","191.171359","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","18","â\234\223","","Read By Type Response","Characteristic,Peripheral Preferred Connection Parameters,Peripheral Preferred Connection Parameters,Characteristic"
